frequency_inverse_angstrom,two_states_amplitude,gaussian_amplitude
2.106250000000000067e-01,9.861049757675087735e-01,3.011435096929954147e-02
2.112499999999999933e-01,9.844265680898915960e-01,2.949389042732356025e-02
2.118750000000000078e-01,9.826532793307117819e-01,2.888443174214419887e-02
2.124999999999999944e-01,9.807852804032305416e-01,2.828582198234477416e-02
2.131250000000000089e-01,9.788227513490723730e-01,2.769790939450631623e-02
2.137499999999999956e-01,9.767658813208724977e-01,2.712054341584782882e-02
2.143750000000000100e-01,9.746148685640450005e-01,2.655357468624011674e-02
2.149999999999999967e-01,9.723699203976766681e-01,2.599685505960322440e-02
2.156250000000000111e-01,9.700312531945439742e-01,2.545023761469486154e-02
2.162499999999999978e-01,9.675990923602597604e-01,2.491357666529964848e-02
2.168750000000000122e-01,9.650736723115473925e-01,2.438672776982719198e-02
2.174999999999999989e-01,9.624552364536473892e-01,2.386954774032853249e-02
2.181250000000000133e-01,9.597440371568574102e-01,2.336189465093952561e-02
2.187500000000000000e-01,9.569403357322089354e-01,2.286362784576035853e-02
2.193750000000000144e-01,9.540444024062804118e-01,2.237460794618018403e-02
2.200000000000000011e-01,9.510565162951536422e-01,2.189469685765620816e-02
2.206250000000000155e-01,9.479769653775104166e-01,2.142375777595589836e-02
2.212500000000000022e-01,9.448060464668780467e-01,2.096165519287228676e-02
2.218750000000000167e-01,9.415440651830208063e-01,2.050825490142061877e-02
2.225000000000000033e-01,9.381913359224841598e-01,2.006342400052654740e-02
2.231250000000000178e-01,9.347481818282923349e-01,1.962703089921429347e-02
2.237500000000000044e-01,9.312149347588036807e-01,1.919894532030480550e-02
2.243749999999999911e-01,9.275919352557241426e-01,1.877903830363250592e-02
2.250000000000000056e-01,9.238795325112868495e-01,1.836718220879047028e-02
2.256249999999999922e-01,9.200780843345949256e-01,1.796325071741295548e-02
2.262500000000000067e-01,9.161879571171359649e-01,1.756711883500471083e-02
2.268749999999999933e-01,9.122095257974678351e-01,1.717866289232642882e-02
2.275000000000000078e-01,9.081431738250812513e-01,1.679776054634526256e-02
2.281249999999999944e-01,9.039892931234434492e-01,1.642429078076016249e-02
2.287500000000000089e-01,8.997482840522214032e-01,1.605813390611069563e-02
2.293749999999999956e-01,8.954205553686970243e-01,1.569917155947897838e-02
2.300000000000000100e-01,8.910065241883678988e-01,1.534728670379353205e-02
2.306249999999999967e-01,8.865066159447464456e-01,1.500236362674459839e-02
2.312500000000000111e-01,8.819212643483550496e-01,1.466428793931946056e-02
2.318749999999999978e-01,8.772509113449241669e-01,1.433294657396742139e-02
2.325000000000000122e-01,8.724960070727970640e-01,1.400822778240282639e-02
2.331249999999999989e-01,8.676570098195441894e-01,1.369002113305575231e-02
2.337500000000000133e-01,8.627343859777917290e-01,1.337821750817847453e-02
2.343750000000000000e-01,8.577286100002721181e-01,1.307270910061742071e-02
2.350000000000000144e-01,8.526401643540920672e-01,1.277338941025860271e-02
2.356250000000000011e-01,8.474695394742345345e-01,1.248015324015593411e-02
2.362500000000000155e-01,8.422172337162865396e-01,1.219289669235049806e-02
2.368750000000000022e-01,8.368837533084092506e-01,1.191151716338990744e-02
2.375000000000000167e-01,8.314696123025452357e-01,1.163591333955583777e-02
2.381250000000000033e-01,8.259753325248733180e-01,1.136598519180852078e-02
2.387500000000000178e-01,8.204014435255134741e-01,1.110163397045630523e-02
